dose	days	S	T	B1	B2	B3	B4	B5	N	region	age				
10	7	1	0 	9	2	0	0	0	0	G16/5/l	2				
10	7	1	0	0	0	0	0	0	0	G16/5/l	2				
10	7	0	0 	14	4	1	0	0	0	G16/5/l	2				
10	7	1	0	0	0	0	0	0	0	G16/3/l	2				
10	7	4	6 	46	0	0	0	0	0	G16/3/l	2				
10	7	2	0	0	0	0	0	0	0	G16/3/l	2				
10	7	3	0	0	0	0	0	0	0	G16/4/r	2				
10	7	4	2 	0 	0	0	0	0	0 	G16/4/r	2				
10	7	0	0 	0	0	0	0	0	18	G16/4/r	2				
10	7	0	0 	0	3	1	27	0	0	G16/5/r	2				
10	7	2	2 	0 	0	0	0	0	0 	G16/5/r	2				
10	7	1	0	0	0	0	0	0	0	F2/2/r	2				
10	7	1	5 	0 	0	0	0	0	0 	F2/2/r	2				
10	7	1	3 	0 	0	0	0	0	4 	F3/5/r	2				
10	7	0	0 	0	0	0	0	0	9	F3/4/l	2				
10	7	1	0	0	0	0	0	0	0	G16/1/l	2				
10	7	1	0	0	0	0	0	0	0	G16/2/l	2				
10	7	1	0	0	0	0	0	0	0	G16/2/l	2				
10	7	1	0	0	0	0	0	0	0	G16/4/l	2				
10	7	1	0	0	0	0	0	0	0	G16/4/l	2				
10	7	1	0	0	0	0	0	0	0	F2/1/l	2				
10	7	2	0	0	0	0	0	0	0	G16/3/r	2				
10	7	1	0	0	0	0	0	0	0	G16/3/r	2				
10	7	1	0	0	0	0	0	0	0	F3/5/l	2				
10	7	2	0	0	0	0	0	0	0	F3/3/l	2				
10	21	2	15 	0	0	0	0	0	0	G8/10/l	2				
10	21	2	0 	49	0	0	0	0	0	G8/10/l	2				
10	21	1	0	0	0	0	0	0	0	G8/10/l	2				
10	21	0	6 	1	2	1	9	54	9	G8/6/l	2				
10	21	2	2	0	0	0	0	0	0	G8/6/l	2				
10	21	1	0 	0	0	0	0	0	0	G8/6/l	2				
10	21	6	3 	54	11	4	16	39	14	G8/9/l	2				
10	21	3	2	0	0	0	0	0	0	G8/9/l	2				
10	21	9	0	0	0	0	0	0	0	G8/9/l	2				
10	21	3	0 	26	0	0	0	0	0	G16/6/r	2				
10	21	3	0	0	3	6	13	1	21	G16/6/r	2				
10	21	1	0	0	0	0	0	0	0	G16/6/r	2				
10	21	4	0	0	0	1	0	2	3	G16/6/l	2				
10	21	2	0	0	0	0	0	0	0	G8/7/l	2				
10	21	2	0	0	0	0	0	0	0	G8/7/l	2				
5	21	0	0	0	0	0	0	0	3	G20/3/r	2				
5	21	0	13	5	4	1	11	3	18	G20/5/r	2				
5	21	1	0	0	0	0	0	0	0	G20/3/l	2				
5	21	1	0	0	0	0	0	0	0	F12/1/r	2				
5	21	1	0	0	0	0	0	0	0	F12/1/r	2				
5	21	0	0	0	0	0	0	0	16	F12/2/r	2				
5	21	1	0	0	0	0	0	0	0	F12/3/r	2				
5	21	1	0	0	0	0	0	0	0	F12/3/l	2				
5	21	0	0	0	0	0	0	0	5	F12/3/l	2				
5	21	1	4	0	0	0	0	0	9	G20/5/l	2				
5	35	1	0	0	0	0	0	0	0	F10/6/l	2				
5	35	1	0	0	0	0	0	0	0	F10/6/r	2				
5	35	0	0	13	0	2	10	17	15	F10/4/l	2				
5	35	1	0	0	0	0	0	0	0	F10/4/l	2				
5	35	1	2	0	0	0	0	0	0	F10/1/l	2				
